inputNum,name
1,ACCUmash
2,Allspice
3,Allspice Powder
4,American Oak Chips
5,American Oak Cubes (Heavy Toast)
6,American Oak Cubes (Medium-Heavy Toast)
7,American Oak Cubes (Medium Toast)
8,American Oak Spiral (Heavy Toast)
9,American Oak Spiral (Light Toast)
10,American Oak Spiral (Medium Plus Toast)
11,American Oak Spiral (Medium Toast)
12,Amylase Enzyme
13,Apple Extract
14,Apricot Extract
15,Apricot Puree
16,Banana Extract
17,Bitter Orange Peel
18,Blackberries (Fresh)
19,Blackberries (Frozen)
20,Blackberry Extract
21,Blackberry Puree
22,Black Currant Extract
23,Black Pepper
24,Black Pepper (Ground)
25,Black Pepper (Whole)
26,Blueberries (Fresh)
27,Blueberries (Frozen)
28,Blueberry Puree
29,Bourbon
30,Bourbon Soaked French Oak Chips
31,BrewVint Yeast Nutrient
32,Burton Water Salts
33,Calcium Carbonate
34,Calcium Chloride
35,Campden Tablet
36,Cardamom (Ground)
37,Cardamom Seed
38,Cardamom (Whole)
39,Chamomile (Dried)
40,Chamomile (Fresh)
41,Cherries
42,Cherry Extract
43,Cherry Puree
44,Chicory Root
45,Chipotle Chili
46,Chocolate (Dark)
47,Chocolate Extract
48,Chocolate (Milk)
49,Cinnamon (Ground)
50,Cinnamon Sticks
51,Cocoa Nibs
52,Cocoa Powder
53,Coffee (Brewed)
54,Coffee (Ground)
55,Coriander Seed
56,Cranberry Extract
57,Dextrose
58,Dried Woodruff
59,Elderflowers (Dried)
60,Epsom Salt (MgSO4)
61,Espresso
62,Fermax Yeast Nutrient
63,Five Star 5.2 pH Stabilizer
64,French Oak Chips
65,French Oak Cubes (Heavy Toast)
66,French Oak Cubes (Medium-Heavy Toast)
67,French Oak Cubes (Medium Toast)
68,French Oak Spiral (Heavy Toast)
69,French Oak Spiral (Light Toast)
70,French Oak Spiral (Medium Plus Toast)
71,French Oak Spiral (Medium Toast)
72,Gelatin
73,Ginger Extract
74,Ginger Root (Dried)
75,Ginger Root (Fresh)
76,Grains of Paradise
77,Grape Extract
78,Grapefruit Zest
79,Gypsum (Calcium Sulfate)
80,Heather Tips
81,Hibiscus
82,Hungarian Oak Cubes (Medium Toast)
83,Indian Sarsaparilla
84,Irish Moss
85,Juniper Berries (Dried)
86,Juniper Berries (Fresh)
87,Lactose
88,Lavender
89,Lemongrass (Fresh)
90,Lemon Peel
91,Lemon Peel (Dried)
92,Lemon Zest
93,Licorice Root
94,Licorice Stick
95,Lime Peel (Dried)
96,Lime Zest
97,Maltodextrin
98,Mango (Fresh)
99,Mango (Frozen)
100,Mugwort (Dried)
101,Nutmeg (Ground)
102,Oak Chips (Light)
103,Orange Juice
104,Orange Peel
105,Orange Zest
106,Peaches (Fresh)
107,Peaches (Frozen)
108,Peach Puree
109,Pumpkin Pie Spice
110,Pumpkin Puree
111,Raisins
112,Raspberry Extract
113,Raspberry Puree
114,Raspberry (Whole)
115,Rose Hips
116,Rosemary (Dried)
117,Rosemary (Fresh)
118,Sage (Dried)
119,Sage (Fresh)
120,Serrano Chili
121,Servomyces Yeast Nutrient
122,Sour Cherries (Fresh)
123,Sour Cherries (Frozen)
124,Spearmint (Dried)
125,Spearmint (Fresh)
126,Spruce Essence
127,Spruce Tips
128,Star Anise
129,Strawberries (Fresh)
130,Strawberries (Frozen)
131,Strawberry Extract
132,Super Moss HB
133,Sweet Orange Peel
134,Toasted Coconut
135,Vanilla Beans
136,Vanilla Extract
137,Watermelon Extract
138,Whirlfloc Tablet
139,Whiskey
140,Whole Cloves
141,Wintergreen Leaves
142,Wormwood (Dried)
143,Yeast Energizer
144,Yeast Nutrient (Wyeast)
